Anime Title,Year Aired,Rating,Status,Number of Episode,Genre,Source
Mob Psycho 100 III,2022,8.71,Finished,12,"['Action', 'Comedy', 'Supernatural']",Web manga
Great Pretender,2020,8.21,Finished,23,"['Action', 'Adventure', 'Mystery']",Original
Psycho-Pass 2,2014,7.4,Finished,11,"['Action', 'Mystery', 'Sci-Fi', 'Suspense']",Original
Kenpuu Denki Berserk,1997,8.58,Finished,25,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror']",Manga
Jigokuraku,2023,8.12,Finished,13,"['Action', 'Adventure', 'Fantasy']",Manga
Inuyashiki,2017,7.64,Finished,11,"['Action', 'Drama', 'Sci-Fi']",Manga
Strike the Blood,2013,7.03,Finished,24,"['Action', 'Fantasy', 'Supernatural', 'Ecchi']",Source
IS: Infinite Stratos,2011,6.62,Finished,12,"['Action', 'Comedy', 'Romance', 'Sci-Fi', 'Ecchi']",Light novel
Date A Live II,2014,7.18,Finished,10,"['Action', 'Fantasy', 'Romance', 'Sci-Fi']",Light novel
Koukaku Kidoutai,1995,8.27,Finished,1,"['Action', 'Award Winning', 'Mystery', 'Sci-Fi', 'Suspense']",Manga
Rokka no Yuusha,2015,7.27,Finished,12,"['Action', 'Adventure', 'Fantasy', 'Mystery']",Light novel
Pokemon,1997,7.39,Finished,276,"['Action', 'Adventure', 'Comedy', 'Fantasy']",Game
Dragon Ball GT,1996,6.49,Finished,64,"['Action', 'Adventure', 'Comedy', 'Fantasy']",Manga
Bungou Stray Dogs 3rd Season,2019,8.21,Finished,12,"['Action', 'Mystery', 'Supernatural']",Manga
Gintama°,2015,9.06,Finished,51,"['Action', 'Comedy', 'Sci-Fi']",Manga
Kore wa Zombie desu ka?,2011,7.34,Finished,12,"['Action', 'Comedy', 'Fantasy', 'Ecchi']",Light novel
Boku no Hero Academia 6th Season,2022,8.31,Finished,25,['Action'],Manga
Kage no Jitsuryokusha ni Naritakute!,2022,8.3,Finished,20,"['Action', 'Comedy', 'Fantasy']",Light novel
Sword Art Online Alternative: Gun Gale Online,2018,7.01,Finished,12,['Action'],Light novel
Shingeki no Kyojin: The Final Season - Kanketsu-hen,2023,8.92,Finished,2,"['Action', 'Drama', 'Suspense']",Manga
Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,2019,7.48,Finished,12,"['Action', 'Adventure', 'Comedy', 'Fantasy']",Light novel
Log Horizon 2nd Season,2014,7.56,Finished,25,"['Action', 'Adventure', 'Fantasy']",Light novel
Sword Art Online: Alicization - War of Underworld 2nd Season,2020,7.49,Finished,11,"['Action', 'Adventure', 'Fantasy']",Light novel
Toaru Kagaku no Railgun,2009,7.66,Finished,24,"['Action', 'Fantasy', 'Sci-Fi']",Manga
The Last: Naruto the Movie,2014,7.79,Finished,1,"['Action', 'Adventure', 'Fantasy', 'Romance']",Manga
Zetsuen no Tempest,2012,7.9,Finished,24,"['Action', 'Drama', 'Fantasy', 'Mystery']",Manga
Beelzebub,2011,7.85,Finished,60,"['Action', 'Comedy', 'Supernatural']",Manga
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,2020,7.46,Finished,12,"['Action', 'Adventure', 'Fantasy']",Light novel
Hunter x Hunter,1999,8.41,Finished,62,"['Action', 'Adventure', 'Fantasy']",Manga
Ajin,2016,7.39,Finished,13,"['Action', 'Horror', 'Mystery', 'Supernatural']",Manga
Kenja no Mago,2019,6.62,Finished,12,"['Action', 'Comedy', 'Fantasy', 'Romance']",Light novel
Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,2013,7.43,Finished,10,"['Action', 'Comedy', 'Fantasy']",Light novel
Vinland Saga Season 2,2023,8.81,Finished,24,"['Action', 'Adventure', 'Drama']",Manga
Gangsta.,2015,7.41,Finished,12,"['Action', 'Drama']",Manga
Kaifuku Jutsushi no Yarinaoshi,2021,6.34,Finished,12,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Erotica']",Light novel
Boku no Hero Academia the Movie 2: Heroes:Rising,2019,7.96,Finished,1,['Action'],Manga
Drifters,2016,7.89,Finished,12,"['Action', 'Adventure', 'Comedy', 'Fantasy']",Manga
Kuroshitsuji II,2010,7.14,Finished,12,"['Action', 'Comedy', 'Fantasy']",Manga
Evangelion Movie 1: Jo,2007,8.0,Finished,1,"['Action', 'Award Winning', 'Drama', 'Sci-Fi', 'Suspense']",Original
Katanagatari,2010,8.31,Finished,12,"['Action', 'Adventure', 'Romance']",Light novel
Katekyou Hitman Reborn!,2006,8.13,Finished,203,"['Action', 'Comedy']",Manga
Darwin's Game,2020,7.22,Finished,11,"['Action', 'Mystery', 'Sci-Fi', 'Suspense']",Manga
Absolute Duo,2015,6.42,Finished,12,"['Action', 'Fantasy', 'Romance', 'Ecchi']",Light novel
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri Part 2",2016,7.72,Finished,12,"['Action', 'Adventure', 'Fantasy']",Light novel
Gintama',2011,9.03,Finished,51,"['Action', 'Comedy', 'Sci-Fi']",Manga
God Eater,2015,7.19,Finished,13,"['Action', 'Fantasy', 'Sci-Fi']",Game
Musaigen no Phantom World,2016,6.85,Finished,13,"['Action', 'Comedy', 'Fantasy', 'Ecchi']",Light novel
Dorohedoro,2020,8.05,Finished,12,"['Action', 'Comedy', 'Fantasy', 'Horror']",Manga
Evangelion Movie 2: Ha,2009,8.3,Finished,1,"['Action', 'Drama', 'Sci-Fi', 'Suspense']",Original
Shakugan no Shana,2005,7.45,Finished,24,"['Action', 'Drama', 'Fantasy', 'Romance']",Light novel
Vivy: Fluorite Eye's Song,2021,8.4,Finished,13,"['Action', 'Sci-Fi', 'Suspense']",Original
Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,2020,7.53,Finished,12,"['Action', 'Adventure', 'Comedy', 'Fantasy']",Light novel
Kizumonogatari I: Tekketsu-hen,2016,8.36,Finished,1,"['Action', 'Mystery', 'Supernatural']",Light novel
Ichiban Ushiro no Daimaou,2010,6.73,Finished,12,"['Action', 'Comedy', 'Fantasy', 'Ecchi']",Light novel
Bleach: Sennen Kessen-hen,2022,9.02,Finished,13,"['Action', 'Adventure', 'Fantasy']",Manga
Vanitas no Karte,2021,7.9,Finished,12,"['Action', 'Fantasy', 'Mystery']",Manga
"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",2021,7.35,Finished,12,"['Action', 'Drama', 'Fantasy', 'Mystery', 'Romance']",Source
Black Lagoon: The Second Barrage,2006,8.17,Finished,12,['Action'],Manga
Shingeki no Kyojin: Kuinaki Sentaku,2014,8.42,Finished,2,['Action'],Visual novel
Overlord IV,2022,8.08,Finished,13,"['Action', 'Adventure', 'Fantasy']",Light novel
Aldnoah.Zero,2014,7.39,Finished,12,"['Action', 'Sci-Fi']",Source
Sousei no Onmyouji,2016,7.3,Finished,50,"['Action', 'Fantasy', 'Romance']",Manga
Takt Op. Destiny,2021,7.15,Finished,12,"['Action', 'Fantasy', 'Sci-Fi']",Source
High School DxD Hero,2018,7.24,Finished,12,"['Action', 'Comedy', 'Fantasy', 'Romance', 'Ecchi']",Light novel
Fairy Tail: Final Series,2018,7.58,Finished,51,"['Action', 'Adventure', 'Fantasy']",CloverWorks
Zero no Tsukaima: Futatsuki no Kishi,2007,7.4,Finished,12,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance', 'Ecchi']",Light novel
Re:Creators,2017,7.55,Finished,22,"['Action', 'Fantasy', 'Sci-Fi']",Original
Full Metal Panic!,2002,7.6,Finished,24,"['Action', 'Comedy', 'Sci-Fi']",Light novel
JoJo no Kimyou na Bouken Part 6: Stone Ocean,2021,8.14,Finished,12,"['Action', 'Adventure', 'Supernatural']",Manga
Rurouni Kenshin: Meiji Kenkaku Romantan,1996,8.29,Finished,94,"['Action', 'Comedy', 'Romance']",Source
Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,2023,7.87,Finished,12,"['Action', 'Comedy', 'Horror', 'Supernatural', 'Suspense']",Manga
Mashle,2023,7.6,Finished,12,"['Action', 'Comedy', 'Fantasy']",Manga
Tokyo Ravens,2013,7.42,Finished,24,"['Action', 'Fantasy', 'Romance']",Light novel
86 Part 2,2021,8.7,Finished,12,"['Action', 'Drama', 'Sci-Fi']",Light novel
Gleipnir,2020,6.98,Finished,13,"['Action', 'Mystery', 'Supernatural', 'Ecchi']",Manga
Ore dake Level Up na Ken,2024,8.42,Airing,12,"['Action', 'Adventure', 'Fantasy']",Web manga
Durarara!!x2 Shou,2015,7.98,Finished,12,"['Action', 'Mystery', 'Supernatural']",Light novel
