Anime Title,Year Aired,Rating,Status,Number of Episode,Genre,Source
"Dakara Boku wa, H ga Dekinai.",2012,6.54,Finished,12,"['Comedy', 'Romance', 'Supernatural', 'Ecchi']",Light novel
Josee to Tora to Sakana-tachi,2020,8.39,Finished,1,"['Drama', 'Romance']",Novel
Rosario to Vampire Capu2,2008,6.89,Finished,13,"['Comedy', 'Fantasy', 'Romance', 'Ecchi']",Manga
Koi to Uso,2017,6.49,Finished,12,"['Drama', 'Romance']",Web manga
"Kanojo, Okarishimasu 2nd Season",2022,6.83,Finished,12,"['Comedy', 'Romance']",Manga
Grisaia no Rakuen,2015,7.75,Finished,10,"['Drama', 'Romance']",Visual novel
Kamisama Hajimemashita◎,2015,8.22,Finished,12,"['Comedy', 'Fantasy', 'Romance']",Manga
"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru",2013,7.15,Finished,10,"['Comedy', 'Romance']",Light novel
Tasogare Otome x Amnesia,2012,7.82,Finished,12,"['Horror', 'Mystery', 'Romance', 'Supernatural']",Manga
Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,2017,7.67,Finished,12,"['Drama', 'Fantasy', 'Romance', 'Sci-Fi']",Source
Shinmai Maou no Testament Burst,2015,6.81,Finished,10,"['Action', 'Fantasy', 'Romance', 'Ecchi']",Light novel
Saijaku Muhai no Bahamut,2016,6.53,Finished,12,"['Action', 'Fantasy', 'Romance', 'Ecchi']",Light novel
Mikakunin de Shinkoukei,2014,7.37,Finished,12,"['Comedy', 'Romance', 'Supernatural']",4-koma manga
ReLIFE: Kanketsu-hen,2018,8.2,Finished,4,"['Drama', 'Romance']",Web manga
B-gata H-kei,2010,6.85,Finished,12,"['Comedy', 'Romance', 'Ecchi']",4-koma manga
Kami nomi zo Shiru Sekai II,2011,7.87,Finished,12,"['Comedy', 'Romance', 'Supernatural']",Manga
Campione! Matsurowanu Kamigami to Kamigoroshi no Maou,2012,6.92,Finished,13,"['Action', 'Comedy', 'Fantasy', 'Romance', 'Ecchi']",Light novel
Date A Live III,2019,7.18,Finished,12,"['Action', 'Fantasy', 'Romance', 'Sci-Fi']",Light novel
Tamako Love Story,2014,7.91,Finished,1,"['Award Winning', 'Romance', 'Slice of Life']",Original
Ano Natsu de Matteru,2012,7.41,Finished,12,"['Drama', 'Romance', 'Sci-Fi']",Original
Genjitsu Shugi Yuusha no Oukoku Saikenki,2021,7.25,Finished,13,"['Action', 'Fantasy', 'Romance']",Light novel
Sakamichi no Apollon,2012,8.3,Finished,12,"['Drama', 'Romance']",Source
Yamada-kun to Lv999 no Koi wo Suru,2023,7.82,Finished,13,['Romance'],Web manga
Bishoujo Senshi Sailor Moon,1992,7.73,Finished,46,"['Fantasy', 'Romance']",Manga
Amagami SS,2010,7.29,Finished,25,['Romance'],Visual novel
Hitsugi no Chaika,2014,7.22,Finished,12,"['Action', 'Adventure', 'Fantasy', 'Romance']",Light novel
