Anime Title,Year Aired,Rating,Status,Number of Episode,Genre,Source
Lupin III (2015),2015,7.89,Finished,24,"['Action', 'Adventure', 'Comedy', 'Mystery']",Manga
xxxHOLiC Shunmuki,2009,8.03,Finished,2,"['Comedy', 'Drama', 'Mystery', 'Supernatural']",Manga
Higurashi no Naku Koro ni Kaku: Outbreak,2013,7.2,Finished,1,"['Horror', 'Mystery', 'Supernatural']",Visual novel
xxxHOLiC Rou,2010,8.19,Finished,2,"['Drama', 'Mystery', 'Supernatural']",Manga
Petshop of Horrors,1999,7.24,Finished,4,"['Horror', 'Mystery', 'Supernatural']",Manga
"""Bungaku Shoujo"" Movie",2010,7.33,Finished,1,"['Drama', 'Mystery', 'Romance']",Light novel
R.O.D: Read or Die,2001,7.62,Finished,3,"['Action', 'Adventure', 'Mystery', 'Sci-Fi']",Light novel
Kami no Tou 2nd Season,2024,0,Not yet aired,?,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery']",Web manga
Majin Tantei Nougami Neuro,2007,7.59,Finished,25,"['Comedy', 'Mystery', 'Supernatural']",Manga
Godzilla: S.P,2021,6.65,Finished,13,"['Action', 'Award Winning', 'Mystery', 'Sci-Fi']",Source
Shoumetsu Toshi,2019,5.49,Finished,12,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery']",Game
Housekishou Richard-shi no Nazo Kantei,2020,7.2,Finished,12,"['Drama', 'Mystery']",Novel
Durarara!!x2 Shou: Watashi no Kokoro wa Nabe Moyou,2015,7.66,Finished,1,"['Action', 'Mystery', 'Supernatural']",Light novel
Tokyo 24-ku,2022,6.35,Finished,12,"['Mystery', 'Sci-Fi']",Original
xxxHOLiC Movie: Manatsu no Yoru no Yume,2005,7.93,Finished,1,"['Comedy', 'Drama', 'Mystery', 'Supernatural']",Manga
Fuuto Tantei,2022,7.32,Finished,12,"['Action', 'Mystery', 'Supernatural']",Manga
Migi to Dali,2023,7.79,Finished,13,"['Comedy', 'Mystery', 'Suspense']",Source
Mayonaka no Occult Koumuin,2019,6.74,Finished,12,"['Fantasy', 'Mystery']",Manga
Meitantei Conan Movie 03: Seikimatsu no Majutsushi,1999,8.03,Finished,1,"['Adventure', 'Comedy', 'Mystery']",Manga
7 Seeds 2nd Season,2020,7.05,Finished,12,"['Adventure', 'Drama', 'Mystery', 'Romance', 'Sci-Fi']",Source
